source_record_id,latitude,longitude,state,district,event_year,landslide_type,material_type,triggering,geology,source,source_dataset_version,region,inventory_id,validation_status,label,negative_basis,elevation_m,slope_deg,aspect_sin,aspect_cos,profile_curvature,relief_local_m,block
107.0,27.96756,96.40214,Arunachal Pradesh,Lohit,0.0,Slide,Rock cum Debris,Heavy rainfall,Colluvial debris and alluvial river deposits and thin column of overburden,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21429,gsi_inventory_record,1,,411.0,13.019,0.27631,0.96107,0.00049032,52.0,1928_559
30639.0,27.5335,92.964861,Arunachal Pradesh,East Kameng,0.0,Slide,Rock,Rainfall & anthropogenic,Jointed Gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-24062,gsi_inventory_record,1,,1120.0,31.179,0.69086,-0.72299,0.00275587,160.0,1859_550
30147.0,28.097163,95.270824,Arunachal Pradesh,East Siang,0.0,Wedge failure,Rock,Rainfall,Sandstone,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21044,gsi_inventory_record,1,,338.0,18.638,-0.44886,0.8936,0.00191454,90.0,1905_561
30134.0,27.858972,94.783917,Arunachal Pradesh,West Siang,0.0,Slide,Debris,Rainfall,Shale-Sandstone,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23863,gsi_inventory_record,1,,382.0,14.292,0.90507,-0.42527,-0.00213181,83.0,1895_557
30453.0,26.904445,95.360399,Arunachal Pradesh,Longding,0.0,Slide,Debris,Extensive slope cut,"Shale and grey shale, Disang Group",GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21550,gsi_inventory_record,1,,425.0,22.041,0.83363,0.55232,-0.00145273,101.0,1907_538
30257.0,28.775381,95.898382,Arunachal Pradesh,Dibang Valley,0.0,Slide,Debris,Rainfall,Gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21314,gsi_inventory_record,1,,1276.0,37.087,-0.43911,0.89843,0.00016252,161.0,1917_575
30127.0,28.133778,94.788,Arunachal Pradesh,West Siang,0.0,Slide,Soil,Rainfall,Quartzite of Boleng Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21009,gsi_inventory_record,1,,369.0,11.379,0.44168,0.89717,0.00067004,48.0,1895_562
30835.0,27.763722,93.992333,Arunachal Pradesh,Lower Subansiri,0.0,Slide,Debris,Rainfall and anthropogenic,Gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23985,gsi_inventory_record,1,,324.0,22.717,0.68007,0.73315,-0.00156585,108.0,1879_555
30341.0,28.21909,95.791084,Arunachal Pradesh,Lower Dibang Valley,0.0,Slide,Rock,Rainfall,Chlorite schist of Dibang Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21136,gsi_inventory_record,1,,1005.0,33.303,-0.92389,-0.38266,-0.00014373,138.0,1915_564
30263.0,28.809244,95.92821,Arunachal Pradesh,Dibang Valley,0.0,Slide,Earth,Rainfall,Gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21294,gsi_inventory_record,1,,1359.0,32.889,0.99445,0.10524,0.00077392,144.0,1918_576
25013.0,28.029848,94.616455,Arunachal Pradesh,Leparada,0.0,Slide,Debris,"Rainfall, Anthropogenic",Quartz-mica schist,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23872,gsi_inventory_record,1,,855.0,17.731,-0.59512,0.80363,-0.0035155,79.0,1892_560
117.0,28.22328,96.55303,Arunachal Pradesh,Anjaw,0.0,Slide,Rock,Heavy rainfall,Moderately weathered schist with gneissic bands with thin older colluvial debris.,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21371,gsi_inventory_record,1,,1521.0,37.269,0.29203,0.95641,-0.00493517,156.0,1931_564
30828.0,28.005389,94.201306,Arunachal Pradesh,Upper Subansiri,0.0,Slide,Debris,Rainfall,Metagranitoid,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23921,gsi_inventory_record,1,,259.0,18.703,0.99696,0.07795,-0.00034726,69.0,1884_560
